,item_id,current_selling_quantity,current_buying_quantity,current_selling_to_anchor_ratio,current_population,target_selling_to_anchor_ratio,anchor_selling_price,obs_time,target_time
0,6685,18493,12861,1.000312597686777,65009,1.0,6398,1515626523.777736,1515626541.287586
1,6685,19437,14868,1.0,65043,1.0,6398,1515626527.244998,1515626541.287586
2,6685,19437,14868,1.0,65047,1.000312597686777,6398,1515626530.690183,1515626544.4997818
3,6685,18493,12861,1.000312597686777,65046,1.000312597686777,6398,1515626534.1631188,1515626547.709798
4,6685,18493,12861,1.000312597686777,65033,1.0,6398,1515626537.7635891,1515626554.1373038
5,6685,5934,13573,1.0,61113,1.0,6302,1515643149.381444,1515643166.960338
6,6685,5932,13473,1.0,61093,1.0,6302,1515643153.052254,1515643166.960338
7,6685,5934,13573,1.0,61083,1.0,6302,1515643156.4833732,1515643170.1702359
8,6685,5932,13473,1.0,61054,1.0,6302,1515643160.082031,1515643176.6173232
9,6685,5934,13573,1.0,61017,1.0,6302,1515643163.539307,1515643179.832366
10,6685,7914,10642,1.0001567152483937,60312,1.0001567152483937,6381,1515643724.5104349,1515643741.998497
11,6685,8050,10676,1.0,60289,1.0001567152483937,6381,1515643727.9844382,1515643741.998497
12,6685,8050,10676,1.0,60240,1.0001567152483937,6381,1515643731.4643278,1515643745.215326
13,6685,7914,10642,1.0001567152483937,60211,1.0,6381,1515643734.8842304,1515643748.4282641
14,6685,8050,10676,1.0,60227,1.0,6381,1515643738.482018,1515643754.903305
15,6685,7914,10642,1.0001567152483937,59850,1.0,6381,1515644059.529217,1515644076.8703382
16,6685,7914,10642,1.0001567152483937,59848,1.0,6381,1515644062.9778821,1515644076.8703382
17,6685,8050,10676,1.0,59840,1.0001567152483937,6381,1515644066.423907,1515644080.221941
18,6685,7914,10642,1.0001567152483937,59851,1.0,6381,1515644069.8763616,1515644083.435144
19,6685,8050,10676,1.0,59888,1.0,6381,1515644073.3452249,1515644089.8660474
20,6685,10494,12262,1.0,59555,1.0,6361,1515644335.237791,1515644352.627637
21,6685,10494,12262,1.0,59550,1.0,6361,1515644338.8094876,1515644352.627637
22,6685,10494,12262,1.0,59588,1.0,6361,1515644342.297268,1515644356.0442848
23,6685,10494,12262,1.0,59581,1.0,6361,1515644345.71715,1515644359.2614448
24,6685,10494,12262,1.0,59595,1.0,6361,1515644349.2012546,1515644365.7034829
25,6685,10494,12262,1.0,59085,1.0,6361,1515644642.020606,1515644660.020664
26,6685,10494,12262,1.0,59124,1.0,6361,1515644645.541375,1515644660.020664
27,6685,10465,11897,1.0,59116,1.0,6361,1515644649.23156,1515644663.239897
28,6685,10465,11897,1.0,59121,1.0,6361,1515644653.059246,1515644666.4539762
29,6685,10494,12262,1.0,59112,1.0,6361,1515644656.539598,1515644673.077568
30,6685,10494,12262,0.9989007537688442,58815,0.9989007537688442,6368,1515644831.92256,1515644849.3091311
31,6685,11276,13660,1.0,58793,0.9989007537688442,6368,1515644835.371663,1515644849.3091311
32,6685,11276,13660,1.0,58739,0.9989007537688442,6368,1515644838.847661,1515644852.531486
33,6685,11276,13660,1.0,58769,0.9989007537688442,6368,1515644842.4666612,1515644855.963556
34,6685,11276,13660,1.0,58795,1.0,6368,1515644845.8882592,1515644862.560499
35,6685,11276,13660,1.0,58310,1.0,6368,1515645248.403616,1515645266.1177518
36,6685,11283,13769,1.0,58319,1.0,6368,1515645252.012843,1515645266.1177518
37,6685,11283,13769,1.0,58307,1.0,6368,1515645255.6235812,1515645269.334652
38,6685,11283,13769,1.0,58318,1.0,6368,1515645259.2752588,1515645272.6926148
39,6685,11276,13660,1.0,58299,1.0,6368,1515645262.697878,1515645279.1291358
40,6685,6940,9115,0.9998434809829394,58046,0.9998434809829394,6389,1515645486.273841,1515645503.823841
41,6685,5761,8655,1.0,58019,0.9998434809829394,6389,1515645489.731919,1515645503.823841
42,6685,6940,9115,0.9998434809829394,57992,1.0,6389,1515645493.33826,1515645507.0342731
43,6685,5761,8655,1.0,58001,1.0,6389,1515645496.933886,1515645513.4737852
44,6685,6940,9115,0.9998434809829394,57973,1.0,6389,1515645500.400417,1515645516.692291
45,6685,6940,9115,0.9998434809829394,57638,0.9998434809829394,6389,1515645786.094273,1515645803.247225
46,6685,5761,8655,1.0,57653,0.9998434809829394,6389,1515645789.5335526,1515645803.247225
47,6685,6940,9115,0.9998434809829394,57637,1.0,6389,1515645792.9737446,1515645806.473624
48,6685,5761,8655,1.0,57628,1.0,6389,1515645796.393259,1515645812.900394
49,6685,5761,8655,1.0,57590,0.9998434809829394,6389,1515645799.8141446,1515645816.118015
50,6685,3901,6773,1.0,69645,1.0,6303,1515704765.375489,1515704781.777615
51,6685,3901,6773,1.0,69637,1.0,6303,1515704770.857846,1515704786.9886491
52,6685,3901,6773,1.0,69649,1.0,6303,1515704776.317743,1515704792.2030258
53,6685,19211,16684,0.9996795385354912,65118,1.0,6241,1515722391.543935,1515722408.8413038
54,6685,19211,16684,0.9996795385354912,65091,1.0,6241,1515722395.0354078,1515722408.8413038
55,6685,15327,10332,1.0,65064,0.9996795385354912,6241,1515722398.4528859,1515722412.055
56,6685,19211,16684,0.9996795385354912,65104,0.9996795385354912,6241,1515722401.93238,1515722418.484617
57,6685,19211,16684,0.9996795385354912,65124,0.9996795385354912,6241,1515722405.421206,1515722421.6996858
58,6685,15909,10521,1.0,65035,1.0,6241,1515722927.591119,1515722944.974499
59,6685,15909,10521,1.0,64994,1.0,6241,1515722931.022954,1515722944.974499
60,6685,15909,10521,1.0,64988,1.0,6241,1515722934.473216,1515722948.1893554
