,item_id,current_selling_quantity,current_buying_quantity,current_selling_to_anchor_ratio,current_population,target_selling_to_anchor_ratio,anchor_selling_price,obs_time,target_time
0,6685,6270,5812,0.9986741308190924,52389,1.0,6788,1515562890.389876,1515562903.160536
1,6685,6270,5812,0.9986741308190924,52389,1.0,6788,1515562893.040972,1515562905.600419
2,6685,6270,5812,0.9986741308190924,52408,1.0,6788,1515562895.47521,1515562908.0556931
3,6685,4137,4783,1.0,52425,1.0,6788,1515562898.056842,1515562910.270888
4,6685,6270,5812,0.9986741308190924,52439,0.9986741308190924,6788,1515562900.5158,1515562912.48295
5,6685,6270,5812,1.0,52314,1.0,6779,1515563029.667528,1515563042.743361
6,6685,6270,5812,1.0,52308,1.0,6779,1515563032.29172,1515563044.9728901
7,6685,4137,4783,1.0013276294438709,52252,1.0,6779,1515563034.9914932,1515563047.42341
8,6685,4137,4783,1.0013276294438709,52243,1.0,6779,1515563037.6285028,1515563049.880048
9,6685,6270,5812,1.0,52251,1.0,6779,1515563040.282461,1515563052.093662
10,6685,7886,7291,1.0,51885,1.0,6777,1515563199.639158,1515563212.136744
11,6685,6270,5812,1.0002951158329645,51869,1.0,6777,1515563202.0703962,1515563214.541281
12,6685,7886,7291,1.0,51854,1.0,6777,1515563204.765954,1515563216.758508
13,6685,6270,5812,1.0002951158329645,51830,1.0,6777,1515563207.2247179,1515563219.15035
14,6685,7886,7291,1.0,51848,1.0,6777,1515563209.676148,1515563221.363471
15,6685,7886,7291,0.9997049712346954,51606,1.0,6779,1515563367.4024162,1515563380.6560378
16,6685,6270,5812,1.0,51601,0.9997049712346954,6779,1515563370.144159,1515563382.873673
17,6685,6270,5812,1.0,51620,1.0,6779,1515563372.728204,1515563385.3472419
18,6685,7886,7291,0.9997049712346954,51652,0.9997049712346954,6779,1515563375.352937,1515563387.5641599
19,6685,6270,5812,1.0,51667,0.9997049712346954,6779,1515563378.0065439,1515563389.914858
20,6685,7886,7291,1.0,51532,1.0002951158329645,6777,1515563426.6605911,1515563439.848352
21,6685,7886,7291,1.0,51525,1.0,6777,1515563429.2382069,1515563442.0636961
22,6685,7886,7291,1.0,51527,1.0002951158329645,6777,1515563431.8772779,1515563444.286196
23,6685,6270,5812,1.0002951158329645,51532,1.0002951158329645,6777,1515563434.513824,1515563446.683991
24,6685,6270,5812,1.0002951158329645,51572,1.0002951158329645,6777,1515563437.215219,1515563448.92541
25,6685,8583,8859,1.0002951158329645,51359,1.0,6777,1515563540.8156931,1515563553.949814
26,6685,8583,8859,1.0002951158329645,51330,1.0,6777,1515563543.51178,1515563556.355592
27,6685,7886,7291,1.0,51316,1.0,6777,1515563546.150332,1515563558.57425
28,6685,8583,8859,1.0002951158329645,51311,1.0002951158329645,6777,1515563548.7926471,1515563560.931211
29,6685,8583,8859,1.0002951158329645,51314,1.0,6777,1515563551.488895,1515563563.2059839
30,6685,8583,8859,0.9992629716981132,50798,0.9992629716981132,6784,1515563878.9553459,1515563891.832721
31,6685,9444,9516,1.0,50800,1.0,6784,1515563881.5656042,1515563894.051786
32,6685,9444,9516,1.0,50830,0.9992629716981132,6784,1515563884.273185,1515563896.3083808
33,6685,9444,9516,1.0,50823,1.0,6784,1515563886.9141738,1515563898.521295
34,6685,8583,8859,0.9992629716981132,50831,1.0,6784,1515563889.375228,1515563900.879242
